k	WCSS	AIC	BIC
1	1800.0000	1840.0000	1890.2172
2	1071.5044	1151.5044	1251.9388
3	963.7406	1083.7406	1234.3922
4	747.1649	907.1649	1108.0336
5	733.8424	933.8424	1184.9284
6	630.7338	870.7338	1172.0370
7	528.6610	808.6610	1160.1814
8	484.6663	804.6663	1206.4038
9	473.9655	833.9655	1285.9203
10	413.7717	813.7717	1315.9436
